Gemini panel,Gemini panel genes,PanelApp panel,PanelApp panel genes
Albinism,"['TYR', 'OCA2', 'MC1R', 'TYRP1', 'SLC45A2', 'SLC24A5', 'C10orf11']",Infantile nystagmus_1.3,"['CACNA1A', 'FRMD7', 'GPR143', 'LRMDA', 'LYST', 'OCA2', 'SLC24A5', 'SLC45A2', 'TYR', 'TYRP1']"
Alport Syndrome,"['COL4A3', 'COL4A4', 'COL4A5', 'COL4A6', 'CD151', 'MYH9']",Haematuria_2.3,"['COL4A1', 'COL4A3', 'COL4A4', 'COL4A5', 'MYH9']"
Amyotrophic lateral sclerosis,"['MATR3', 'UBQLN2', 'TUBA4A', 'VAPB', 'SLC52A3', 'SQSTM1', 'TBK1', 'SLC52A2', 'CHCHD10', 'HNRNPA1', 'FUS', 'FIG4', 'OPTN', 'PFN1', 'TARDBP', 'VCP', 'SETX', 'SIGMAR1', 'SOD1', 'ALS2', 'ANG', 'DCTN1', 'CHMP2B']",Amyotrophic lateral sclerosis motor neuron disease_1.29,"['ALS2', 'ANG', 'AR', 'DCTN1', 'FIG4', 'FUS', 'HNRNPA1', 'OPTN', 'PFN1', 'SETX', 'SIGMAR1', 'SLC52A2', 'SLC52A3', 'SOD1', 'TARDBP', 'TBK1', 'UBQLN2', 'VAPB', 'VCP', '[67545316, 67545383]', '[27573529, 27573546]', '[2652734, 2652757]']"
Aortopathy,"['PLOD1', 'LOX', 'FLNA', 'SMAD2', 'SKI', 'ABL1', 'BGN', 'FLCN', 'EFEMP2', 'ELN', 'FBN1', 'FBN2', 'NOTCH1', 'MYLK', 'PRKG1', 'TGFB2', 'TGFB3', 'TGFBR1', 'SLC2A10', 'TGFBR2', 'SMAD3', 'SMAD4', 'MYH11', 'MED12', 'COL3A1', 'COL5A1', 'COL1A1', 'COL1A2', 'ACTA2', 'COL5A2']",Thoracic aortic aneurysm and dissection_1.2,"['ABL1', 'ACTA2', 'BGN', 'CBS', 'COL3A1', 'COL5A1', 'COL5A2', 'EFEMP2', 'ELN', 'FBLN5', 'FBN1', 'FBN2', 'FKBP14', 'FLNA', 'FOXE3', 'LOX', 'MFAP5', 'MYH11', 'MYLK', 'NOTCH1', 'PLOD1', 'PRKG1', 'SKI', 'SLC2A10', 'SMAD2', 'SMAD3', 'SMAD4', 'SMAD6', 'TGFB2', 'TGFB3', 'TGFBR1', 'TGFBR2']"
Arrhythmogenic Right Ventricular Cardiomyopathy,"['TMEM43', 'PKP2', 'DSC2', 'DSP', 'DSG2', 'JUP', 'LMNA', 'DES']",Arrhythmogenic cardiomyopathy_2.8,"['CDH2', 'DES', 'DSC2', 'DSG2', 'DSP', 'FLNC', 'JUP', 'LMNA', 'PKP2', 'PLN', 'TMEM43']"
Arthrogryposis,"['POR', 'POMGNT1', 'POMT1', 'POMT2', 'ECEL1', 'FGFR3', 'FLNB', 'FBN2', 'FKBP10', 'FKRP', 'FKTN', 'GBE1', 'RYR1', 'SELENON', 'MYH2', 'MYH7', 'MYH8', 'MYH3', 'PFKM', 'PLOD2', 'TGFBR1', 'TGFB3', 'TGFB2', 'IRF6', 'ISPD', 'KAT6B', 'HSPG2', 'GLE1', 'POMGNT2', 'TGFBR2', 'TRPV4', 'UBA1', 'SMAD3', 'SMAD4', 'VIPAS39', 'VPS33B', 'TPM2', 'TPM3', 'TNNT3', 'TNNI2', 'TNNT1', 'COL6A1', 'COL6A2', 'COL6A3', 'DNM2', 'DAG1', 'CHRNA1', 'CHRND', 'CHST14', 'ADAMTS10', 'NEB', 'ACTA1', 'MTM1', 'MYBPC1', 'LAMA2', 'GBA', 'COL12A1', 'COLQ', 'CRLF1', 'DOK7', 'ERCC6', 'ERCC8', 'EXOSC3', 'FAM20C', 'KLHL7', 'MUSK', 'PLOD1', 'PRG4', 'PEX7', 'PIEZO2', 'PEX1', 'PEX10', 'PEX11B', 'PEX12', 'PEX13', 'PEX14', 'PEX16', 'PEX19', 'PEX2', 'PEX26', 'PEX3', 'PEX5', 'PEX6', 'RIPK4', 'SCARF2', 'SCN4A', 'RAPSN', 'B4GAT1', 'B3GALNT2', 'CNTNAP1', 'KIAA1109', 'KLHL41', 'KLHL40', 'LGI4', 'LMOD3', 'NALCN', 'GMPPB', 'SKI', 'SLC5A7', 'TSEN54', 'FGFR2', 'CHAT', 'CHRNB1', 'CHRNE', 'CHRNG', 'ASCC1', 'ASXL1', 'TMEM5', 'LARGE1', 'ZC4H2', 'POMK', 'ANTXR2', 'ZMPSTE24']",Arthrogryposis_3.2,"['ACTA1', 'ADAMTS10', 'ADGRG6', 'ALG3', 'ANTXR2', 'ASCC1', 'ASXL1', 'B3GALNT2', 'B4GAT1', 'BICD2', 'CACNA1E', 'CHAT', 'CHRNA1', 'CHRNB1', 'CHRND', 'CHRNE', 'CHRNG', 'CHST14', 'CNTNAP1', 'COL12A1', 'COL6A1', 'COL6A2', 'COL6A3', 'COLQ', 'CRLF1', 'DAG1', 'DHCR24', 'DNM2', 'DOK7', 'DPAGT1', 'DYNC1H1', 'ECEL1', 'ERCC6', 'ERCC8', 'EXOSC3', 'FAM20C', 'FBN2', 'FGFR2', 'FGFR3', 'FKBP10', 'FKRP', 'FKTN', 'FLNB', 'GBA', 'GBE1', 'GLDN', 'GLE1', 'GMPPB', 'HSPG2', 'IRF6', 'ISPD', 'KAT6B', 'KIAA1109', 'KLHL40', 'KLHL41', 'KLHL7', 'LAMA2', 'LARGE1', 'LGI4', 'LMOD3', 'MAGEL2', 'MTM1', 'MUSK', 'MYBPC1', 'MYH2', 'MYH3', 'MYH7', 'MYH8', 'MYL1', 'MYMK', 'NALCN', 'NEB', 'ORAI1', 'PEX1', 'PEX10', 'PEX11B', 'PEX12', 'PEX13', 'PEX14', 'PEX16', 'PEX19', 'PEX2', 'PEX26', 'PEX3', 'PEX5', 'PEX6', 'PEX7', 'PFKM', 'PIEZO2', 'PLOD1', 'PLOD2', 'POMGNT1', 'POMGNT2', 'POMK', 'POMT1', 'POMT2', 'POR', 'PRG4', 'RAPSN', 'RIPK4', 'RYR1', 'SCARF2', 'SCN4A', 'SELENON', 'SKI', 'SLC5A7', 'SMAD3', 'SMAD4', 'SMN1', 'SMPD4', 'STAC3', 'STIM1', 'TGFB2', 'TGFB3', 'TGFBR1', 'TGFBR2', 'TMEM5', 'TNNI2', 'TNNT1', 'TNNT3', 'TOR1A', 'TPM2', 'TPM3', 'TRPV4', 'TSEN54', 'TTN', 'UBA1', 'VAMP1', 'VIPAS39', 'VPS33B', 'ZC4H2', 'ZMPSTE24']"
Bardet-Biedl Syndrome,"['ARL6', 'BBS1', 'BBS10', 'BBS12', 'BBS2', 'BBS4', 'BBS5', 'BBS7', 'BBS9', 'ALMS1', 'MKKS', 'MKS1', 'TTC8']",Bardet Biedl syndrome_1.2,"['ARL6', 'BBS1', 'BBS10', 'BBS12', 'BBS2', 'BBS4', 'BBS5', 'BBS7', 'BBS9', 'LZTFL1', 'MKKS', 'MKS1', 'SDCCAG8', 'TMEM67', 'TTC8']"
Bowel cancer_ICE,"['EPCAM', 'SMAD4', 'STK11', 'MLH1', 'MUTYH', 'MSH2', 'MSH6', 'APC', 'BMPR1A']",Colorectal cancer pertinent cancer susceptibility_1.0,"['APC', 'BMPR1A', 'MLH1', 'MSH2', 'MSH6', 'MUTYH', 'NTHL1', 'PMS2', 'POLD1', 'POLE', 'PTEN', 'SMAD4', 'STK11']"
Breast And Ovarian Cancer_ICE,"['STK11', 'TP53', 'PTEN', 'RAD51C', 'RAD51D', 'PALB2', 'ATM', 'CHEK2', 'BRCA1', 'BRIP1', 'BRCA2', 'MSH6', 'MSH2', 'MLH1']",Familial breast cancer_1.13,"['ATM', 'BRCA1', 'BRCA2', 'CHEK2', 'PALB2', 'PTEN', 'RAD51C', 'RAD51D', 'STK11', 'TP53']"
Breast Cancer_ICE,"['BRCA2', 'BRCA1', 'CHEK2', 'ATM', 'PALB2', 'PTEN', 'TP53', 'STK11']",Breast cancer pertinent cancer susceptibility_1.0,"['BRCA1', 'BRCA2', 'PALB2', 'PTEN', 'TP53']"
